f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
110.0,888.0,0.04019125617387516,8080.0,47898.0,0.6,0.0,189.59145963469206,195.0,0.991,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
88.0,1658.0,0.03892991343969534,8443.0,59952.0,0.4,1.0,160.70625936049953,59.0,0.704,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
85.0,1680.0,0.021425701805332945,53.0,52700.0,0.2,1.0,158.885952639288,71.0,0.155,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
86.0,1961.0,0.022836021003516893,8080.0,55743.0,0.0,1.0,187.48017532165417,94.0,0.049,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
114.0,1601.0,0.04166725871709601,443.0,21322.0,0.4,1.0,11.33580668203903,79.0,0.333,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
59.0,650.0,0.04218879670896671,53.0,4051.0,0.2,0.0,104.4998077965086,66.0,0.754,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
88.0,1562.0,0.04536362978655734,53.0,14758.0,1.0,1.0,83.97597861719075,83.0,0.259,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
105.0,419.0,0.04441048887667916,53.0,7059.0,0.4,0.5,88.25072761060687,123.0,0.767,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
117.0,1920.0,0.025564366825840165,8080.0,12333.0,0.8,0.0,118.3362112388584,55.0,0.186,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
133.0,610.0,0.018516070596470122,80.0,45821.0,0.8,0.0,111.85067865453229,151.0,0.454,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
51.0,1382.0,0.043827881842512344,3389.0,16019.0,0.0,0.0,60.19052975500441,138.0,0.798,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
93.0,791.0,0.049162222942383434,443.0,23703.0,1.0,0.0,138.1386383076904,166.0,0.899,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
53.0,1041.0,0.027439645900870217,8080.0,29865.0,1.0,0.5,124.47035686144663,95.0,0.485,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
78.0,1977.0,0.011452288926128675,8443.0,63215.0,0.6,1.0,88.26502118977207,191.0,0.076,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
66.0,226.0,0.02471194611482966,3389.0,13291.0,1.0,0.0,53.22618188658981,167.0,0.012,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
78.0,531.0,0.020467887092053067,8080.0,57167.0,0.8,0.5,19.391308944201242,108.0,0.119,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
93.0,1441.0,0.04864484132085549,22.0,4574.0,0.6,1.0,187.83408296800414,118.0,0.634,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.515,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
50.0,387.0,0.0479522252575355,3389.0,19048.0,0.4,0.5,105.36149200583903,181.0,0.135,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
110.0,1141.0,0.03078445317283232,8080.0,36889.0,1.0,0.0,114.48242752303823,113.0,0.779,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
102.0,1854.0,0.01585909166861648,8080.0,46872.0,0.4,0.0,38.25047410659198,106.0,0.556,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
120.0,389.0,0.04286829890063755,53.0,47409.0,0.2,0.5,24.898296597508082,141.0,0.016,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
108.0,431.0,0.017125996723191914,443.0,12954.0,0.0,1.0,155.57185304718195,164.0,0.749,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
100.0,1938.0,0.012425493729651077,8443.0,40731.0,0.2,1.0,119.733138439424,179.0,0.414,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
141.0,706.0,0.03284087945801956,8080.0,17983.0,0.0,0.5,15.497070029354873,106.0,0.953,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
137.0,1177.0,0.03862547147209374,22.0,51669.0,0.2,1.0,20.754332216891857,89.0,0.166,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
110.0,575.0,0.01921866787137222,22.0,45056.0,0.0,0.5,111.79392533351529,75.0,0.136,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
54.0,438.0,0.04210180171131523,8443.0,17229.0,0.2,0.5,177.16685963232067,129.0,0.378,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
99.0,1383.0,0.022166275912586606,22.0,50289.0,1.0,0.5,105.75191640101046,104.0,0.64,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
110.0,1947.0,0.023529530409236575,3389.0,42955.0,0.4,1.0,75.81029290023368,196.0,0.694,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
71.0,1244.0,0.01590477677820049,8443.0,46005.0,0.4,1.0,49.277322507370464,160.0,0.339,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
122.0,784.0,0.017155799666949405,80.0,28103.0,0.0,0.0,120.52856804027907,161.0,0.346,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
73.0,1138.0,0.0271356914409615,80.0,40799.0,0.6,1.0,192.50458429241718,178.0,0.408,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
76.0,987.0,0.014721171446323993,3389.0,41535.0,0.0,1.0,107.74873812853626,189.0,0.038,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
145.0,1581.0,0.03792419760790609,443.0,44449.0,0.8,1.0,158.16972867431025,187.0,0.172,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
60.0,1684.0,0.019508338777130464,22.0,59094.0,1.0,1.0,128.55149831617734,108.0,0.433,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
131.0,307.0,0.02589699918553373,22.0,65395.0,0.6,1.0,82.13410915500573,180.0,0.503,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
83.0,1476.0,0.0332877318194805,8443.0,61900.0,0.8,0.5,68.51446347771287,150.0,0.297,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.25
53.0,496.0,0.02467792314579575,22.0,19420.0,0.6,1.0,116.40453737060616,194.0,0.325,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.37,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
126.0,1252.0,0.010984873850162913,8443.0,22653.0,1.0,0.0,56.39602018955163,92.0,0.451,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.37,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
82.0,1510.0,0.03999364865964477,22.0,59879.0,0.2,0.5,197.54532782776857,106.0,0.997,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.794,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
118.0,911.0,0.01943777873599165,3389.0,33544.0,1.0,1.0,58.73093868504936,180.0,0.787,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.794,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
92.0,1759.0,0.028332314163593046,22.0,29461.0,0.0,0.5,37.666204024111636,176.0,0.529,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.501,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.25
56.0,1327.0,0.029477048157146295,53.0,43744.0,1.0,0.0,18.407731314261902,70.0,0.736,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.501,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.25
121.0,318.0,0.015145420289249777,8443.0,59155.0,1.0,0.5,35.69108735206578,123.0,0.244,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.501,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.25
104.0,235.0,0.04660617832861065,80.0,13932.0,0.8,0.0,104.9583821602504,98.0,0.593,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.501,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.25
118.0,791.0,0.02261242570155382,8443.0,13895.0,0.6,0.0,40.53232774976535,143.0,0.091,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.501,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.25
150.0,1854.0,0.026700440861699683,8080.0,63218.0,0.6,1.0,161.29442436397437,87.0,0.3,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.501,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.25
135.0,755.0,0.017423815566412995,8443.0,52546.0,1.0,0.5,79.70736983693433,194.0,0.363,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.25
131.0,1585.0,0.030982793933665397,8080.0,19940.0,1.0,1.0,100.89144602257088,65.0,0.033,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.25
59.0,1029.0,0.024060312364795562,8443.0,11121.0,0.6,0.0,88.76114958002441,177.0,0.052,0.711,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.25
184.0,209.0,29.99676617362918,443.0,45575.0,0.2,0.0,126.17062514843893,4.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
254.0,101.0,29.973459450142034,443.0,56493.0,0.2,0.0,164.2078680674319,10.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
150.0,224.0,30.018728946868233,443.0,29586.0,0.4,0.0,130.3671484184981,5.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
135.0,257.0,29.95303076815981,443.0,19897.0,0.4,0.0,85.213418490473,10.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
101.0,274.0,29.976093626475727,443.0,36062.0,0.4,1.0,189.21709457983957,2.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
237.0,280.0,29.960033449415175,443.0,31793.0,0.4,0.0,40.64127356525263,2.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
262.0,126.0,30.048598104263785,443.0,57282.0,0.2,1.0,116.37928700691457,7.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
160.0,136.0,29.967089883485873,443.0,41621.0,0.0,0.5,15.87257258916419,10.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
104.0,200.0,29.971450923977017,443.0,38501.0,0.8,1.0,25.699375644890488,10.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
283.0,201.0,30.031633775807247,443.0,48542.0,0.6,1.0,30.42877565035437,1.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
146.0,162.0,29.998640977250066,443.0,25999.0,0.8,1.0,93.28126419112598,7.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
279.0,257.0,30.022515814101475,443.0,38902.0,0.6,1.0,88.57431904581263,6.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
227.0,232.0,30.04181792660912,443.0,3829.0,1.0,0.5,52.44352659931678,10.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
180.0,252.0,30.042848297466705,443.0,15096.0,0.2,1.0,50.17324730117459,8.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
216.0,206.0,30.019239388192506,443.0,36076.0,0.4,1.0,68.55652965990811,6.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
179.0,208.0,29.995637380022092,443.0,7812.0,0.6,1.0,190.16106029817882,2.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
149.0,112.0,29.96196810224109,443.0,7063.0,0.6,0.5,43.771152089637525,5.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
269.0,207.0,29.968730921547078,443.0,29340.0,0.6,0.0,161.95892026974124,8.0,0.381,0.781,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.924,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
