f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
490.0,524.0,0.9759446042043826,443.0,1750.0,0.2,1.0,67.44759751615541,9.0,0.147,0.027,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.043,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.0
207.0,1474.0,0.6527993598686317,8443.0,28175.0,0.8,0.5,44.413578935102336,9.0,0.18,0.819,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.647,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.5
180.0,1063.0,1.8997834207621052,22.0,10884.0,0.4,1.0,62.01901865448015,1.0,0.52,0.326,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.0
190.0,1278.0,0.21654303781670364,80.0,53738.0,0.8,1.0,76.59090381141266,4.0,0.609,0.241,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.603,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.0
234.0,856.0,1.002698334786501,8443.0,46669.0,0.2,0.0,107.87214905673767,6.0,0.892,0.933,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.54,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.25
205.0,1739.0,0.21544261728746605,8080.0,43115.0,0.0,1.0,121.75214488563579,7.0,0.821,0.645,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.106,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.25
368.0,822.0,1.3634579040357193,53.0,45688.0,0.0,1.0,159.66570162013517,7.0,0.396,0.182,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.5
484.0,648.0,0.47487169218173453,443.0,36719.0,0.4,0.0,112.96463427642017,3.0,0.411,0.291,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.652,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.0
355.0,1489.0,1.2716413721824718,53.0,38478.0,0.0,0.0,60.87335608416426,8.0,0.884,0.277,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.779,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.0
383.0,243.0,0.986393161084287,80.0,20668.0,0.0,1.0,152.93114129705572,7.0,0.75,0.838,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0
394.0,388.0,1.3344272049966415,443.0,32615.0,1.0,1.0,174.02268880430677,6.0,0.893,0.101,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.25
378.0,1080.0,0.14303985510258616,22.0,41662.0,0.8,1.0,138.90402726888817,5.0,0.181,0.145,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.307,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.5
243.0,1003.0,0.9785536382752376,8443.0,43797.0,0.0,1.0,94.87158659235384,1.0,0.939,0.309,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.414,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.25
255.0,1609.0,0.3560363923387404,3389.0,34747.0,0.0,0.5,68.99224952315328,6.0,0.752,0.363,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.028,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.0
325.0,1274.0,0.6347396987000569,443.0,45862.0,0.2,0.5,83.07660160758665,6.0,0.041,0.467,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.581,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.0
132.0,1215.0,0.9991190319064194,3389.0,27703.0,0.0,1.0,79.51847032111381,1.0,0.149,0.147,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.25
493.0,521.0,1.2563424871331095,8443.0,36465.0,1.0,0.5,90.13411263324694,5.0,0.371,0.342,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.906,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.5
366.0,1335.0,1.5890305571937466,80.0,45633.0,0.0,0.5,91.67283925172542,10.0,0.289,0.744,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.56,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.0
344.0,542.0,0.5901968019991126,8443.0,43576.0,1.0,0.0,52.51868977749944,6.0,0.92,0.424,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.5
262.0,860.0,1.1973246293365158,3389.0,61301.0,1.0,1.0,92.98921316594397,10.0,0.127,0.74,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.852,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.0
309.0,915.0,0.12756578819550327,53.0,3830.0,0.4,0.5,70.62177096662785,7.0,0.292,0.877,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.205,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.5
297.0,506.0,0.4067433767629338,8443.0,39426.0,0.0,1.0,133.79587863763783,2.0,0.033,0.235,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.678,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.5
355.0,1089.0,1.9553260494980427,3389.0,25514.0,0.0,1.0,48.349660678765694,3.0,0.4,0.228,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.188,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.25
483.0,518.0,0.5054214893764571,8080.0,59056.0,0.4,1.0,10.351048079705802,1.0,0.843,0.644,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.331,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.0
125.0,264.0,1.1552347646104526,3389.0,57307.0,1.0,0.0,92.1999608782435,7.0,0.231,0.76,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.933,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.0
120.0,419.0,1.6830410599208683,22.0,1865.0,0.4,0.0,132.81800661200668,2.0,0.774,0.333,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.807,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.0
199.0,1612.0,0.7861126190949463,3389.0,11056.0,0.0,0.0,122.6042324363048,5.0,0.182,0.936,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.988,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.0
225.0,1637.0,1.93244719884186,8443.0,50648.0,1.0,1.0,175.49841824745255,5.0,0.235,0.701,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.285,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.25
128.0,609.0,1.0041157014087772,53.0,13186.0,0.0,1.0,65.07130189703678,8.0,0.67,0.75,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.5
376.0,1008.0,1.3551036314961173,3389.0,29496.0,0.2,1.0,180.67058893252226,1.0,0.823,0.141,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.732,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.0
229.0,1514.0,1.9224677552743588,8080.0,60791.0,0.6,0.5,134.59323550687847,10.0,0.487,0.228,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.188,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.25
298.0,1084.0,0.36938577072482004,80.0,62553.0,0.6,0.0,179.63231646180614,1.0,0.549,0.807,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.0
221.0,1074.0,0.12236335058747308,443.0,12539.0,0.4,1.0,32.66177307323486,1.0,0.672,0.65,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.5
308.0,1405.0,1.0003484166519785,53.0,26574.0,0.8,0.0,31.572241445329286,9.0,0.801,0.613,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.5
261.0,569.0,0.7954248535518781,80.0,14978.0,0.6,0.0,142.08072428998304,2.0,0.604,0.019,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.467,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.5
352.0,686.0,0.81112925076707,8443.0,35339.0,0.0,0.5,62.56984312289899,8.0,0.508,0.897,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.245,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.5
150.0,237.0,0.7535161051325819,22.0,5598.0,0.0,0.5,38.023140182241264,7.0,0.683,0.261,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.225,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.25
492.0,589.0,0.393827743360346,53.0,29839.0,0.0,0.0,117.90777409382093,9.0,0.854,0.845,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.0
